date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
11/15/2024,1.2,-2.33,-2.75,-6.7,,-12,99,93.4,92,85,-0.9,-3.3,-4.1,-7.3,22,10.75,11,0,36,34,101.6,101.42,101.34,101.09,88.55,88.43,88.38,88.21,24100,9450,12250,400,2.3,2.1,2.1,2,20.8,0,0,0,0,0,0,0,,7:54:00,1731682440,7.9,16:47:00,1731714420,16.78,8.88,,,4,4,-8,-7,,,,,,8,6.4,4,0,,,,
11/14/2024,8.1,3.97,1.54,-5,,-7,99,56.6,68.5,38,-2.7,-4.7,-4.5,-6.3,20,10.33,11.5,3,51,27,101.12,100.65,100.57,100.02,88.24,87.93,87.83,87.42,64400,35583.3,32400,400,4.1,2.7,3,2,16.5,0,0,0,0,0,0,0,,7:52:00,1731595920,7.87,16:49:00,1731628140,16.82,8.95,,,9,9,-4,0,,,,,,8,7,6.5,5,,,,
11/13/2024,9,4,2.25,-4.5,,-4,64,52,52.5,41,-2.7,-5.2,-5.3,-8,27,9.17,13.5,0,40,28,101.12,100.46,100.55,99.98,88.32,87.72,87.81,87.31,64400,40891.7,44250,24100,3.8,2.9,3,2.2,15.8,0,0,0,0,0,0,0,,7:51:00,1731509460,7.85,16:50:00,1731541800,16.83,8.98,1,1,10,10,0,1,,,,,,8,7.2,4.5,1,,,,
11/12/2024,10.2,5.11,4.44,-1.3,,,61,39.8,43,25,-4.2,-7.9,-6.9,-9.6,22,9.54,11,0,44,25,101.13,100.59,100.49,99.86,88.31,87.9,87.83,87.35,64400,35525,44250,24100,3.5,2.8,2.9,2.3,13.6,0,0,0,0,0,0,0,,7:49:00,1731422940,7.82,16:51:00,1731455460,16.85,9.03,1,1,9,9,-2,-2,,,,,,8,3.3,4,0,,,,
11/11/2024,13.8,5.54,5.75,-2.3,,-6,100,64.2,67.5,35,2,-1.8,-1.6,-5.2,31,14.5,18,5,53,28,101.1,100.09,100.28,99.46,88.22,87.39,87.57,86.91,64400,30350,33000,1600,2.6,2.2,2.1,1.6,12.2,0,0.8,0,0,0,0,0,,7:47:00,1731336420,7.78,16:53:00,1731369180,16.88,9.1,1,1,11,11,-3,-3,,,,,,8,7.1,6.5,5,,,,
11/10/2024,4.8,1.13,1.65,-1.5,,-5,98,86.8,82.5,67,0.3,-0.9,-0.8,-1.9,32,15.42,18.5,5,46,18,102.1,101.71,101.64,101.19,89.07,88.76,88.68,88.29,24100,14166.7,13050,2000,2,1.8,1.8,1.6,16.4,0,0,0,0,0,0,0,,7:46:00,1731249960,7.77,16:54:00,1731282840,16.9,9.13,1,1,5,5,-1,1,,,,,,8,7,5.5,3,,,,
11/9/2024,14,3.67,6.7,-0.6,,-3,95,74.4,66.5,38,2.7,-0.7,0.2,-2.3,28,12.83,14,0,64,33,101.72,101.45,101.35,100.97,88.89,88.65,88.66,88.43,24100,20166.7,18500,12900,3.7,2.4,2.8,1.8,11.3,0,1.7,0,0,0,0,0,,7:44:00,1731163440,7.73,16:56:00,1731196560,16.93,9.2,1,1,6,6,-3,2,,,,,,8,7.3,6.5,5,,,,
11/8/2024,18.3,11.39,11.4,4.5,,,63,42.1,42.5,22,0.2,-1.8,-1.9,-4,27,11.25,13.5,0,46,27,101.64,101.24,101.32,101,88.97,88.59,88.67,88.37,64400,37204.2,44250,24100,3.4,3,2.8,2.3,6.6,0,6.4,4.4,1.4,0,0,0,,7:42:00,1731076920,7.7,16:57:00,1731110220,16.95,9.25,1,1,14,14,2,2,,,,,,8,5.7,4,0,,,,
11/7/2024,17.5,12.57,12.75,8,,,54,41.9,42.5,31,2.6,-0.1,0.6,-1.5,50,19.04,25,0,69,28,101.85,101.67,101.6,101.35,89.15,88.98,88.94,88.72,64400,34854.2,44250,24100,2.9,2.4,2.5,2,5.2,0,7.8,5.8,2.8,0,0,0,,7:41:00,1730990460,7.68,16:59:00,1731023940,16.98,9.3,1,1,15,15,4,5,,,,,,8,4.4,4,0,,,,
11/6/2024,12.8,3.65,3.45,-5.9,,-10,84,58,61,38,-0.9,-4.6,-4.6,-8.3,39,10.5,19.5,0,46,30,102.68,101.98,102.04,101.4,89.51,88.97,89.1,88.68,64400,39887.5,44250,24100,3.2,2.6,2.8,2.3,14.6,0,0,0,0,0,0,0,,7:39:00,1730903940,7.65,17:00:00,1730937600,17,9.35,1,1,9,9,5,7,,,,,,8,3.1,4,0,,,,
11/5/2024,2.5,-0.65,-1.25,-5,,-10,97,84.1,82.5,68,0.5,-3.1,-3.9,-8.3,37,22.92,22.5,8,55,35,102.81,101.88,101.63,100.46,89.65,88.89,88.66,87.67,24100,13820.8,13250,2400,2.6,2,2,1.5,19.2,0,0,0,0,2.1,0,2.1,0,7:37:00,1730817420,7.62,17:02:00,1730851320,17.03,9.42,,,1,1,-7,-5,,,,,,8,4.7,4,0,,,,
11/4/2024,7.1,1.66,1.14,-4.8,,-8,93,54.8,64.5,36,0.2,-6.9,-4.8,-9.8,30,12.71,15,0,41,26,101.54,100.58,100.72,99.89,88.64,87.78,87.9,87.17,64400,27133.3,35400,6400,3.9,3,3,2,16.9,0,0,0,0,0,0,0,,7:35:00,1730730900,7.58,17:04:00,1730765040,17.07,9.48,1,1,7,7,0,0,,,,,,8,5.7,4,0,,,,
11/3/2024,8.5,0.61,0.5,-7.5,,-10,99,62,62,25,-3.8,-7.3,-7.3,-10.9,22,10.2,11,0,36,28,101.55,101.32,101.21,100.86,88.6,88.36,88.3,88,64400,33092,32500,600,3,2.5,2.5,2,17.5,0,0,0,0,0,0,0,,7:34:00,1730644440,7.57,17:05:00,1730678700,17.08,9.52,1,1,7,7,-5,-5,,,,,,8,2.5,4,0,,,,
11/2/2024,5.4,-1.02,0.35,-4.7,,-8,94,83.9,78.5,63,-1.5,-3.5,-3.7,-5.9,20,9.75,10,0,31,36,100.99,100.68,100.68,100.37,88.1,87.8,87.84,87.58,24100,10745.8,13050,2000,3,2.5,2.5,2,17.6,0,0,0,0,0,0,0,,8:32:00,1730557920,8.53,18:07:00,1730592420,18.12,9.58,1,1,5,5,-5,-5,,,,,,8,7.5,6.5,5,,,,
11/1/2024,4.5,-1.74,-0.39,-5.3,,-9,100,85.1,75.5,51,-3.5,-4.2,-4.5,-5.6,14,7.79,7,0,,,101.57,101.39,101.33,101.08,88.5,88.39,88.33,88.15,24100,8808.3,12150,200,4,3,3.1,2.2,18.4,0,0,0,0,0.4,0,0.4,0,8:30:00,1730471400,8.5,18:09:00,1730506140,18.15,9.65,1,1,5,5,-4,0,,,,,,8,6.4,5,2,,,,
10/31/2024,4.7,-1.32,-0.6,-5.9,,-8,97,76.2,77,57,-3.2,-5.2,-5.7,-8.1,27,13.67,13.5,0,35,2,101.53,101.3,101.31,101.09,88.5,88.36,88.38,88.25,64400,20316.7,33400,2400,3.3,2.8,2.8,2.2,18.6,0,0,0,0,0,0,0,,8:28:00,1730384880,8.47,18:10:00,1730419800,18.17,9.7,1,1,4,4,-8,-5,,,,,,8,4.2,4,0,,,,
10/30/2024,9.6,0.82,1.94,-5.7,,-9,96,65.7,61.5,27,-2.8,-6,-5.8,-8.8,16,6.21,8,0,,,101.57,101.39,101.38,101.19,88.6,88.45,88.44,88.29,64400,32104.2,34600,4800,4,2.9,3,2.1,16.1,0,0,0,0,0,0,0,,8:27:00,1730298420,8.45,18:12:00,1730333520,18.2,9.75,2,2,7,7,-3,-3,,,,,,3,0.9,1.5,0,,,,
10/29/2024,6,1.38,1.55,-2.9,,-6,96,83.5,77,58,0.7,-1.3,-1.4,-3.6,22,12.75,12.5,3,,,101.73,101.56,101.49,101.25,88.78,88.64,88.6,88.41,24100,15354.2,15250,6400,2.3,2.1,2.1,1.9,16.4,0,0,0,0,0,0,0,,8:25:00,1730211900,8.42,18:14:00,1730247240,18.23,9.82,1,1,4,4,-3,-3,,,,,,8,5.5,4,0,,,,
10/28/2024,8.3,3.95,3.75,-0.8,,,93,64.8,66.5,40,1.1,-2.5,-2.6,-6.3,22,8.88,11,0,34,35,101.12,100.64,100.71,100.29,88.3,87.93,88.01,87.72,24100,23766.7,20100,16100,3.7,2.8,3,2.4,14.2,0,0,0,0,0,0,0,,8:23:00,1730125380,8.38,18:16:00,1730160960,18.27,9.88,1,1,10,10,-3,-1,,,,,,8,6,5.5,3,,,,
10/27/2024,18,10.78,11.5,5,,,66,47.5,43.5,21,2.1,-0.6,-1.9,-5.8,36,19.67,20.5,5,64,28,101.08,100.15,100.26,99.43,88.47,87.63,87.76,87.04,64400,27458.3,44250,24100,3.5,2.5,2.8,2.1,6.5,0,6.5,4.5,1.5,0,0,0,,8:21:00,1730038860,8.35,18:18:00,1730074680,18.3,9.95,1,1,16,16,1,3,,,,,,7,5,4,1,,,,
10/26/2024,17.7,8.39,9.54,1.4,,,66,47.1,48,30,0.3,-2.7,-2.7,-5.7,19,8.17,9.5,0,32,30,101.79,101.42,101.49,101.19,88.92,88.63,88.7,88.49,64400,36204.2,40250,16100,3.7,2.9,3,2.3,8.5,0,4.5,2.5,0,0,0,0,,8:20:00,1729952400,8.33,18:20:00,1729988400,18.33,10,1,1,14,14,5,5,,,,,,8,6,4.5,1,,,,
10/25/2024,8.1,2.45,1.69,-4.7,,-6,66,47.2,48,30,-4.2,-8.1,-7.3,-10.4,28,12.17,14,0,40,16,102.78,102.43,102.33,101.88,89.7,89.41,89.34,88.98,64400,38550,40250,16100,3.4,2.7,2.8,2.3,16.3,0,0,0,0,0,0,0,0,8:18:00,1729865880,8.3,18:22:00,1729902120,18.37,10.07,1,1,7,7,0,1,,,,,,8,4,4,0,,,,
10/24/2024,9.6,4.1,3.4,-2.8,,-6,72,43,48,24,-5.4,-8.3,-7.9,-10.4,30,16.04,16.5,3,48,29,102.22,101.9,101.86,101.5,89.3,89,89,88.7,64400,37533.3,44250,24100,3.5,2.7,3,2.5,14.6,0,0,0,0,0,0,0,0,8:16:00,1729779360,8.27,18:23:00,1729815780,18.38,10.12,1,1,10,10,-4,-4,,,,,,8,3.7,4,0,,,,
10/23/2024,9.9,6.21,5.75,1.6,,,55,35.9,41.5,28,-4.2,-8,-7.3,-10.4,31,16.67,17,3,47,28,101.82,101.66,101.64,101.46,88.95,88.82,88.81,88.67,64400,40891.7,44250,24100,3.1,2.6,2.8,2.4,12.2,0,0.8,0,0,0,0,0,0,8:15:00,1729692900,8.25,18:25:00,1729729500,18.42,10.17,2,2,10,10,1,2,,,,,,6,2,3,0,,,,
10/22/2024,6.6,0.81,1.04,-4.5,,-10,97,72.5,64.5,32,-0.7,-4.5,-4.8,-9,31,13.17,15.5,0,44,27,102.42,102.16,102.11,101.81,89.27,89.09,89.06,88.85,64400,23187.5,35400,6400,2.7,1.9,2,1.4,17,0,0,0,0,0,0,0,2,8:13:00,1729606380,8.22,18:27:00,1729643220,18.45,10.23,1,2,5,5,0,1,,,,,,8,3.8,4,0,,,,
10/21/2024,7.1,-0.72,1.5,-4.1,,-9,94,85.3,82.5,71,1.6,-3,-1.6,-4.7,41,20.5,22.5,4,67,34,102.43,101.75,101.42,100.42,89.28,88.84,88.54,87.81,24100,11270.8,12650,1200,2,1.4,1.5,1,16.5,0,0,0,0,0.9,0.3,0.6,0,8:11:00,1729519860,8.18,18:29:00,1729556940,18.48,10.3,1,1,-2,1,-8,-8,,,,,,8,7.2,4.5,1,,,,
10/20/2024,17.9,10.08,10.5,3.1,,,77,58.9,59.5,42,5.5,2.1,2.2,-1,23,10.96,11.5,0,45,1,101.59,100.96,100.91,100.24,88.8,88.33,88.25,87.69,24100,24100,24100,24100,2.4,2.1,2.1,1.8,7.5,0,5.5,3.5,0.5,0,0,0,,8:09:00,1729433340,8.15,18:31:00,1729470660,18.52,10.37,2,2,18,18,2,4,,,,,,8,6.4,6,4,,,,
10/19/2024,19.6,12.12,12.45,5.3,,,64,43.3,46.5,29,3,-0.3,-0.9,-4.9,39,11.88,19.5,0,66,27,101.37,101.02,101.1,100.82,88.6,88.38,88.39,88.18,64400,32845.8,44250,24100,3,2.4,2.5,1.9,5.5,0,7.5,5.5,2.5,0,0,0,,8:08:00,1729346880,8.13,18:33:00,1729384380,18.55,10.42,2,2,19,19,6,8,,,,,,8,7.2,6.5,5,,,,
10/18/2024,9.1,4.19,3.3,-2.5,,-5,68,43.8,48.5,29,-4.7,-7.4,-7,-9.2,26,11.33,13,0,35,18,102.15,101.66,101.53,100.9,89.16,88.78,88.67,88.18,64400,34191.7,40250,16100,3.4,2.6,2.8,2.2,14.7,0,0,0,0,0,0,0,,8:06:00,1729260360,8.1,18:35:00,1729298100,18.58,10.48,2,2,10,10,5,6,,,,,,8,5.5,4,0,,,,
10/17/2024,10.2,5.4,4.3,-1.6,,-2,92,50.3,57,22,0.8,-6,-5.2,-11.3,30,16.29,17.5,5,45,28,101.57,100.86,100.89,100.21,88.75,88.15,88.22,87.69,64400,36200,44250,24100,2.8,2.4,2.5,2.2,13.7,0,0,0,0,0,0,0,,8:04:00,1729173840,8.07,18:37:00,1729211820,18.62,10.55,2,2,10,10,-1,0,,,,,,8,3.8,4,0,,,,
10/16/2024,18.3,9.47,11.15,4,,,88,65.3,57.5,27,5.7,2.6,1.4,-2.8,27,13.42,16,5,54,28,101.29,100.5,100.64,99.98,88.59,87.9,88.03,87.48,24100,23700,21700,19300,3,2.4,2.5,2,6.8,0,6.2,4.2,1.1,0,0,0,,8:03:00,1729087380,8.05,18:40:00,1729125600,18.67,10.62,2,2,16,16,1,3,,,,,,7,5.8,6,5,,,,
10/15/2024,15.9,10.84,11.45,7,,,81,62,66.5,52,5.9,3.8,3.5,1.1,21,8.75,10.5,0,,,101.98,101.65,101.67,101.35,89.28,88.99,88.97,88.65,24100,23100,20100,16100,4,2.7,3.1,2.3,6.5,0,6.5,4.5,1.4,0,0,0,0,8:01:00,1729000860,8.02,18:42:00,1729039320,18.7,10.68,2,3,15,15,5,6,,,,,,8,6.5,5.5,3,,,,
10/14/2024,23.6,15.28,14.65,5.7,,,65,40.2,43.5,22,4.2,1.1,1.9,-0.4,24,10.29,13.5,3,41,30,101.64,101.35,101.35,101.06,88.95,88.76,88.76,88.58,64400,39212.5,44250,24100,4,2.7,3.1,2.3,3.4,0,9.7,7.7,4.7,0,0,0,,7:59:00,1728914340,7.98,18:44:00,1728953040,18.73,10.75,3,3,22,22,7,8,,,,,,8,4.4,4,0,,,,
10/13/2024,20.3,9.19,9.85,-0.6,,-4,90,59.6,61,32,3.7,1,1,-1.8,17,11.38,10.5,4,,,102.76,102.2,102.23,101.7,89.81,89.34,89.4,88.99,64400,38879.2,40250,16100,3.2,2.4,2.6,2.1,8.2,0,4.8,2.8,0,0,0,0,,7:58:00,1728827880,7.97,18:46:00,1728866760,18.77,10.8,3,3,23,23,6,8,,,,,,7,3.6,3.5,0,,,,
10/12/2024,13,4.76,4.55,-3.9,,-5,80,60.7,59.5,39,0.5,-2.6,-3,-6.4,19,10.21,9.5,0,,,102.95,102.81,102.75,102.56,89.88,89.79,89.72,89.57,64400,32170.8,44250,24100,2.9,2.3,2.5,2,13.4,0,0,0,0,0,0,0,,7:56:00,1728741360,7.93,18:48:00,1728780480,18.8,10.87,2,2,14,14,1,2,,,,,,8,4.1,4,0,,,,
10/11/2024,12.8,5.04,5.8,-1.2,,-2,87,63.6,61.5,36,0.6,-1.9,-1.9,-4.4,21,6.88,10.5,0,,,102.55,102.35,102.3,102.05,89.65,89.42,89.44,89.23,64400,34525,40250,16100,3,2.4,2.5,2,12.2,0,0.8,0,0,0,0,0,,7:54:00,1728654840,7.9,18:50:00,1728694200,18.83,10.93,2,2,12,12,-2,-1,,,,,,8,4.1,4,0,,,,
10/10/2024,12.8,7.08,7.35,1.9,,,87,64,63,39,2.6,0.2,0.5,-1.6,25,11.42,12.5,0,48,32,102.66,102.38,102.18,101.69,89.71,89.48,89.33,88.96,64400,38212.5,44250,24100,2.8,2.4,2.5,2.1,10.7,0,2.4,0.4,0,0,0,0,,7:53:00,1728568380,7.88,18:52:00,1728607920,18.87,10.98,2,2,13,13,0,1,,,,,,8,3.5,4,0,,,,
10/9/2024,13.4,7.94,7.1,0.8,,,84,62.4,64,44,2.3,0.8,0.8,-0.8,13,6.29,6.5,0,,,101.63,101.52,101.49,101.36,88.89,88.79,88.76,88.63,48300,27800,36200,24100,2.9,2.5,2.5,2,10.9,0,2.1,0.1,0,0,0,0,,7:51:00,1728481860,7.85,18:54:00,1728521640,18.9,11.05,3,3,18,18,3,4,,,,,,8,6.1,5.5,3,,,,
10/8/2024,22.3,13.48,13.8,5.3,,,68,46.2,47.5,27,3.9,1.6,2.1,0.3,37,10.96,18.5,0,53,30,101.4,101.01,101.07,100.74,88.76,88.47,88.5,88.24,64400,40891.7,44250,24100,2.9,2.4,2.4,1.9,4.2,0,8.8,6.8,3.8,0,0,0,,7:49:00,1728395340,7.82,18:57:00,1728435420,18.95,11.13,3,3,22,22,6,7,,,,,,7,3.4,3.5,0,,,,
10/7/2024,23.2,14.95,13.75,4.3,,,62,36.5,40.5,19,1.6,-0.5,-1.2,-4.1,27,12.79,13.5,0,46,29,101.78,101.49,101.49,101.2,89.14,88.88,88.91,88.68,64400,39212.5,44250,24100,3.7,2.5,2.9,2.1,4.2,0,8.8,6.8,3.8,0,0,0,,7:48:00,1728308880,7.8,18:59:00,1728349140,18.98,11.18,3,3,22,22,6,6,,,,,,5,1.8,2.5,0,,,,
10/6/2024,18.3,12.34,12.5,6.7,,,69,51.2,52.5,36,4.5,2.3,1.8,-0.8,18,7.88,9,0,,,102.22,102.03,101.99,101.77,89.43,89.29,89.28,89.14,64400,37537.5,40250,16100,2.5,2.3,2.3,2.1,5.5,0,7.5,5.5,2.5,0,0,0,,7:46:00,1728222360,7.77,19:01:00,1728262860,19.02,11.25,3,3,19,19,4,7,,,,,,8,6.1,5,2,,,,
10/5/2024,15,9.49,8.6,2.2,,,66,48.2,48,30,1.8,-1.2,-1,-3.9,18,11.38,9,0,33,28,102.22,101.74,101.46,100.7,89.34,88.99,88.74,88.15,64400,38420.8,38650,12900,2.9,2.3,2.4,1.9,9.4,0,3.6,1.6,0,0,0,0,,7:45:00,1728135900,7.75,19:03:00,1728176580,19.05,11.3,3,3,18,18,5,5,,,,,,6,2.9,3,0,,,,
10/4/2024,21.1,8.9,10.85,0.6,,,84,52.5,52,20,0.1,-1.6,-1.9,-4,35,15.79,17.5,0,57,31,101.54,100.48,100.57,99.6,88.74,87.84,87.95,87.16,64400,30833.3,40250,16100,2.7,2.3,2.3,1.9,7.2,0,5.8,3.8,0.8,0,0,0,,7:43:00,1728049380,7.72,19:05:00,1728090300,19.08,11.37,3,3,18,18,5,7,,,,,,8,6.5,5,2,,,,
